run_tag,seed,env_id,episode_idx,traj_type,rmse_pos,rmse_vel,terminated,steps,thrust5_mean_N,thrust5_impulse_frac,power_mean,total_reward
A_active,0,0,0,langevin,0.09781469963828232,0.29344409891484696,0,500.0,0.021652185380916934,0.0005363509435062305,10181071173.334623,602.1853003617177
A_active,0,1,1,null,0.050292457064263274,0.15087737119278982,0,500.0,0.017315233823198575,0.0007247784770863019,10072914479.237215,649.7075429357367
A_active,0,2,2,langevin,0.08726498670136967,0.261794960104109,0,500.0,0.020142111206578984,0.0007213379653279113,9852709182.599667,612.7350132986303
A_active,0,3,3,null,0.04359032734033556,0.13077098202100668,0,500.0,0.01758940343660011,0.0007265512879301294,10007944421.496332,656.4096726596645
A_active,0,4,4,langevin,0.07553320174895738,0.22659960524687212,0,500.0,0.01609045768821579,0.0006409474426047795,10001628436.103668,624.4667982510426
A_active,0,5,5,null,0.04235070480996607,0.12705211442989822,0,500.0,0.026470319071991037,0.000767339098197246,9457767504.206806,657.649295190034
A_active,0,6,6,langevin,0.043602071848905695,0.1308062155467171,0,500.0,0.01912613953972419,0.0006244476255090313,10042728599.499722,656.3979281510943
A_active,0,7,7,null,0.047772878009507344,0.14331863402852202,0,500.0,0.030589193775255243,0.0005554645903974385,9924478998.5746,652.2271219904926
A_active,0,0,8,langevin,0.12223776891810575,0.36671330675431724,0,500.0,0.023233514981009236,0.0007329730039042928,9897198725.662508,577.7622310818942
A_active,0,1,9,null,0.027253509888846963,0.08176052966654089,0,500.0,0.020837323721113705,0.0006775680754488214,9754529589.151085,672.746490111153
A_active,0,2,10,langevin,0.0677178035326479,0.20315341059794373,0,500.0,0.019639781601363863,0.0005721915043605889,9980346006.429556,632.2821964673522
A_active,0,3,11,null,0.046432650070423145,0.13929795021126945,0,500.0,0.02017793118527743,0.0006160375008352352,10118749614.357164,653.5673499295768
A_active,0,4,12,langevin,0.09920567585390572,0.29761702756171715,0,500.0,0.02160424152283282,0.000584843643927636,10146330456.757088,600.7943241460943
A_active,0,5,13,null,0.03986649656512157,0.11959948969536471,0,500.0,0.024395803091439926,0.0005594879249789222,10182893440.625755,660.1335034348784
A_active,0,6,14,langevin,0.08098106767594954,0.2429432030278486,0,500.0,0.013756255548327923,0.0006352767194699819,10010820455.754309,619.0189323240504
A_active,0,7,15,null,0.048383041499068136,0.1451491244972044,0,500.0,0.015089059375295113,0.0005559293619501473,10039916906.569416,651.6169585009319
A_active,0,0,16,langevin,0.0720473444306631,0.2161420332919893,0,500.0,0.021177528058651127,0.0007426186189145045,9670242526.72981,627.9526555693369
A_active,0,1,17,null,0.04818060604995294,0.1445418181498588,0,500.0,0.02612323483767866,0.0006369139822296193,9837837083.352486,651.819393950047
A_active,0,2,18,langevin,0.096427213311851,0.289281639935553,0,500.0,0.02126723258104071,0.0007562549737444227,9930956857.989744,603.572786688149
A_active,0,3,19,null,0.029082335757314823,0.08724700727194447,0,500.0,0.019449946176443744,0.0006220838513655434,10155064764.409515,670.9176642426852
A_active,0,4,20,langevin,0.08525499373580223,0.25576498120740665,0,500.0,0.011845753837824494,0.0005471503586563466,10176757807.317451,614.7450062641977
A_active,0,5,21,null,0.052859751959855455,0.15857925587956637,0,500.0,0.016798783170457555,0.0006665617870099385,10089114710.755238,647.1402480401446
A_active,0,6,22,langevin,0.0907504234852047,0.27225127045561415,0,500.0,0.02438121098057175,0.0006923152293888228,9981034332.2063,609.2495765147953
A_active,0,7,23,null,0.04253500805559284,0.12760502416677852,0,500.0,0.025278714002666257,0.0004415812391588129,9972268934.981733,657.4649919444072
A_active,0,0,24,langevin,0.08204233884794035,0.24612701654382105,0,500.0,0.012873255195649063,0.0006999480279804713,9869743797.511322,617.9576611520597
A_active,0,1,25,null,0.05486922952773236,0.16460768858319708,0,500.0,0.019372039579828363,0.0007335819907456119,10243768721.034245,645.1307704722676
A_active,0,2,26,langevin,0.0890409284225286,0.2671227852675858,0,500.0,0.015621394282885774,0.0005152348034962028,10350676823.503275,610.9590715774714
A_active,0,3,27,null,0.044158122643196435,0.1324743679295893,0,500.0,0.016557175261828393,0.0006810923754727491,9961717733.903471,655.8418773568036
A_active,0,4,28,langevin,0.09842518205251291,0.2952755461575387,0,500.0,0.020169640912185503,0.0006680416250285086,9857084055.793407,601.5748179474871
A_active,0,5,29,null,0.050547585854481575,0.15164275756344472,0,500.0,0.014830666388225087,0.0007332556106430634,10304787502.598026,649.4524141455184
A_active,0,6,30,langevin,0.050888616006276116,0.15266584801882835,0,500.0,0.007668853843243411,0.0007283545421820985,10509579563.096624,649.1113839937238
A_active,0,7,31,null,0.03437216343066832,0.10311649029200495,0,500.0,0.01374652120599006,0.000725563560044714,9831855681.988338,665.6278365693316
A_active,0,0,32,langevin,0.07126182708952442,0.21378548126857325,0,500.0,0.018259412666581112,0.0007198668752958465,9918939527.721376,628.7381729104756
A_active,0,1,33,null,0.04843904800914091,0.14531714402742274,0,500.0,0.019117333705532123,0.0005821995563015063,9936034748.451355,651.560951990859
A_active,0,2,34,langevin,0.062374343464900776,0.18712303039470232,0,500.0,0.020032574929348745,0.000554280043910103,9781421126.140951,637.6256565350992
A_active,0,3,35,null,0.061408916736616956,0.18422675020985085,0,500.0,0.019734078898473294,0.0006612764641194624,10102307283.983524,638.5910832633831
A_active,0,4,36,langevin,0.07296519671728173,0.21889559015184518,0,500.0,0.01885732316260921,0.0007091815401998575,10056483168.448881,627.0348032827183
A_active,0,5,37,null,0.032630072772002416,0.09789021831600725,0,500.0,0.02416671298334831,0.0006076231723377624,9788784209.937162,667.3699272279976
A_active,0,6,38,langevin,0.06337283536827812,0.19011850610483436,0,500.0,0.018047273278223384,0.0008293966921289733,9764892819.015844,636.6271646317218
A_active,0,7,39,null,0.047143171586136894,0.14142951475841067,0,500.0,0.009310878209547114,0.000666509973352147,10179913283.495201,652.8568284138631
A_active,0,0,40,langevin,0.07664907032703004,0.2299472109810901,0,500.0,0.01685322538058329,0.0006898177730725204,10140030350.23013,623.35092967297
A_active,0,1,41,null,0.05268257004945062,0.15804771014835187,0,500.0,0.02986236926964896,0.0006875834139002943,9881517980.049414,647.3174299505494
A_active,0,2,42,langevin,0.0788627529685263,0.23658825890557889,0,500.0,0.01963750727190094,0.0006775404050144785,9993994437.354113,621.1372470314737
A_active,0,3,43,null,0.04729596209611738,0.14188788628835214,0,500.0,0.011645749696924437,0.0007496295622706709,9885052146.215794,652.7040379038826
A_active,0,4,44,langevin,0.05791916283931865,0.17375748851795597,0,500.0,0.02318875579820718,0.0007983992674052749,10098605629.899889,642.0808371606813
A_active,0,5,45,null,0.04715508922055987,0.1414652676616796,0,500.0,0.015338898473140239,0.0009538234004480165,10176051724.132301,652.8449107794402
A_active,0,6,46,langevin,0.05859644336139963,0.1757893300841989,0,500.0,0.01610181041880128,0.000675364591523857,9689053773.600803,641.4035566386003
A_active,0,7,47,null,0.0472372712453748,0.1417118137361244,0,500.0,0.017704642221436206,0.0007892937266982884,10192430932.725649,652.7627287546252
A_active,0,0,48,langevin,0.0271566280195637,0.0814698840586911,0,500.0,0.020208512930136563,0.0005049199167142978,10221927599.849705,672.8433719804362
A_active,0,1,49,null,0.047231501328665215,0.14169450398599565,0,500.0,0.022742027260934987,0.0005601541937863368,10365686047.5991,652.7684986713348
A_active,0,2,50,langevin,0.12178380411126805,0.36535141233380414,0,500.0,0.014676144786868937,0.0007039481788532983,9865339514.321962,578.2161958887319
A_active,0,3,51,null,0.04512306746279109,0.13536920238837327,0,500.0,0.013671815103877182,0.0008533812181247285,9806164097.783466,654.8769325372089
A_active,0,4,52,langevin,0.07546066046830927,0.2263819814049278,0,500.0,0.022507414655552612,0.0006019105988250538,9952137514.05354,624.5393395316908
A_active,0,5,53,null,0.039182298457562534,0.1175468953726876,0,500.0,0.01933269622581853,0.0005496124031566363,9912402384.87954,660.8177015424375
A_active,0,6,54,langevin,0.07724447827401426,0.23173343482204278,0,500.0,0.018331369980979326,0.0006723356621560462,9941379556.128656,622.7555217259858
A_active,0,7,55,null,0.05366766226109233,0.161002986783277,0,500.0,0.018384020371070852,0.0006530017070370782,9867043732.800829,646.3323377389077
A_active,0,0,56,langevin,0.0708520399659544,0.21255611989786322,0,500.0,0.01367753604590144,0.000718545158754463,9771496396.469501,629.1479600340456
A_active,0,1,57,null,0.03717791638818757,0.11153374916456271,0,500.0,0.021796223260056022,0.0007069240032611198,9919977049.798986,662.8220836118124
A_active,0,2,58,langevin,0.040997020558483116,0.12299106167544935,0,500.0,0.022102566436477875,0.0006926230125558726,9717523756.905645,659.0029794415169
A_active,0,3,59,null,0.0538558796789986,0.1615676390369958,0,500.0,0.01649450099783287,0.0005540478550513366,10019146142.192852,646.1441203210014
A_active,0,4,60,langevin,0.07781292814027485,0.23343878442082455,0,500.0,0.021013120004955737,0.0005060918608342228,10362446023.254475,622.1870718597252
A_active,0,5,61,null,0.03875309200827814,0.11625927602483441,0,500.0,0.012301703457517944,0.0007285508855233816,9929039173.979765,661.2469079917219
A_active,0,6,62,langevin,0.08787950648371723,0.2636385194511517,0,500.0,0.018301957846874807,0.0006606926306186746,10049154568.747726,612.1204935162827
A_active,0,7,63,null,0.03716915504444726,0.11150746513334178,0,500.0,0.02339369797929779,0.0006196766567587123,9826062571.165905,662.8308449555527
A_active,0,0,64,langevin,0.08292298520470921,0.24876895561412765,0,500.0,0.02222520639245521,0.0006437587325048027,9827496042.584087,617.0770147952908
